team_id,team_name,club,event_age,gender,division,bracket,coverage,games_365,distinct_opponents,last_game_date,rating,in_db
206710,ETX United 12G,East Texas United SC,U14,f,11v11 Silver,Bracket A,GREEN,11,8,2026-05-16,,yes
494025,Atletico Dallas Youth 15B Brandt,Atletico Dallas Youth,U11,m,9v9 Silver,Bracket C,RED,0,0,,,yes
635332,FC Dallas Youth 17G Niehoff,FC Dallas Youth,U10,f,9v9 17s,Bracket A,RED,4,3,2026-03-01,1560.75,yes
567395,NTX United FC 2011B Paice,NTX United FC,U15,m,DS Silver,Bracket B,RED,0,0,,1525.89,yes
383332,FC Dallas Youth Pre-ECNL 15G Avant West,FC Dallas Youth,U11,f,9v9 Bronze,Bracket B,RED,0,0,,,yes
517375,SPD FC 14B Black,SPD FC,U12,m,9v9 Bronze,Bracket B,YELLOW,5,5,2026-01-11,,yes
380586,Frisco Fusion 15B Blue,Frisco Fusion,U11,m,Silver II,Bracket A,RED,0,0,,,yes
550321,Frisco Fusion 15G Blue,Frisco Fusion,U11,f,9v9 Bronze II,Bracket B,RED,0,0,,,yes
646537,Avanti SA ECNL RL B13,Avanti Soccer Academy,U13,m,11v11 Silver,Bracket A,RED,4,3,2025-12-14,,yes
517372,SPD FC 13B Red,SPD FC,U13,m,11v11 Bronze II,Bracket B,RED,0,0,,,yes
383586,Atletico Dallas Youth 07/08G Clark,Atletico Dallas Youth,U19,f,Gold,Bracket A,MISSING,0,0,,,no
415277,FCD ETX Palestine 15/16B,FC Dallas ETX,U11,m,9v9 Silver,Bracket B,RED,0,0,,,yes
543663,Solar 16G Tremblay,Solar SC,U10,f,9v9 Silver,Bracket A,RED,0,0,,,yes
268555,Athens Futbol Club 12B,Athens Futbol Club,U14,m,11v11 Silver,Bracket A,RED,0,0,,,yes
99024,FC LEGENDS UTD 13B Red,FC LEGENDS UTD,U13,m,11v11 Gold,Bracket A,RED,0,0,,,yes
496326,North Texas Elite 18B Flores,North Texas Elite SC,U9,m,18s,Bracket A,RED,3,3,2026-12-26,,yes
511727,Solar 17B Tremblay,Solar SC,U9,m,7v7 Bronze II,Bracket B,RED,3,3,2025-11-22,,yes
655787,The Hive,The Hive,U11,f,9v9 Bronze,Bracket A,RED,0,0,,,yes
538511,Texas Warriors FC 10B - NPL NTX Foster,Texas Warriors FC,U16,m,DS Silver Crossover,Bracket A,RED,0,0,,,yes
633473,Pegasus Futbol 2013G,Pegasus Futbol,U13,f,11v11 Bronze,Bracket C,RED,0,0,,,yes
703019,Pegasus Futbol 2015,Pegasus Futbol,U11,m,9v9 Bronze,Bracket B,RED,0,0,,1538.02,yes
626056,Pegasus Futbol 2013,Pegasus Futbol,U13,m,11v11 Bronze Crossover,Bracket A,RED,0,0,,,yes
492975,Solar South 10G Cameron,Solar SC,U16,f,HS 1,Bracket A,RED,0,0,,,yes
209098,Dallas Cosmos 13G Red,Dallas Cosmos Soccer Club,U13,f,11v11 Bronze,Bracket C,YELLOW,6,6,2026-05-17,,yes
410175,Dallas Cosmos 16G Black,Dallas Cosmos Soccer Club,U10,f,9v9 Bronze II,Bracket B,RED,0,0,,,yes
293968,Dallas Cosmos 16B White,Dallas Cosmos Soccer Club,U10,m,9v9 16s Silver,Bracket B,RED,0,0,,1501.88,yes
164899,12B Giurgila,Evolution,U14,m,11v11 Bronze II,Bracket C,RED,0,0,,,yes
163527,13B Giurgila,Evolution,U13,m,11v11 Bronze II,Bracket B,RED,0,0,,,yes
419884,17B McGregor (Black),Evolution,U9,m,7v7 Bronze II,Bracket A,RED,2,2,2025-11-23,1496.84,yes
451850,Fever United 11B Jacobo,Fever United,U15,m,DS Bronze,Bracket A,RED,0,0,,1510.26,yes
107876,Solar 09G Megli,Solar SC,U17,f,HS 1,Bracket A,RED,0,0,,,yes
612374,Texas Warriors FC 15G - Salas,Texas Warriors FC,U11,f,9v9 Silver,Bracket C,GREEN,18,15,2026-05-03,,yes
193618,Texas Warriors FC 15B Black,Texas Warriors FC,U11,m,9v9 Bronze,Bracket B,RED,0,0,,,yes
